Order ID,Sales,Isolation_Anomaly,Sales_ZScore,ZScore_Anomaly
2456,261.96,Normal,0.04977649200388438,Normal
2456,731.94,Normal,0.7998005472699443,Normal
2254,14.62,Normal,-0.3449444532055016,Normal
4295,957.5775,Normal,1.1598872589812843,Normal
4295,22.368,Normal,-0.3325797007049667,Normal
194,48.86,Normal,-0.29030207767396865,Normal
194,7.28,Normal,-0.35665809328731973,Normal
194,907.152,Normal,1.0794150303783252,Normal
194,18.504,Normal,-0.3387461183175205,Normal
194,114.9,Normal,-0.18491123421303282,Normal
194,1706.184,Anomaly,2.354561251339537,Normal
194,911.424,Normal,1.086232560409596,Normal
3035,15.552,Normal,-0.3434571081705896,Normal
2612,407.976,Normal,0.2827981364434967,Normal
4312,68.81,Normal,-0.25846459543523953,Normal
4312,2.544,Normal,-0.36421610410850375,Normal
81,665.88,Normal,0.6943777865335812,Normal
758,55.5,Normal,-0.27970554223210586,Normal
516,8.56,Normal,-0.3546153876599727,Normal
516,213.48,Normal,-0.027590983631884322,Normal
516,22.72,Normal,-0.3320179566574462,Normal
2235,19.46,Normal,-0.33722047255209564,Normal
2235,60.34,Normal,-0.2719815615786999,Normal
4875,71.372,Normal,-0.25437599245300274,Normal
868,1044.63,Anomaly,1.2988111899380246,Normal
2001,11.648,Normal,-0.349687360333998,Normal
2001,90.57,Normal,-0.22373859977034005,Normal
4379,3083.43,Anomaly,4.552458246996713,Anomaly
4379,9.618,Normal,-0.3529269637898687,Normal
4379,124.2,Normal,-0.17006970113933956,Normal
4379,3.264,Normal,-0.363067082193121,Normal
4379,86.304,Normal,-0.23054655461898255,Normal
4379,6.858,Normal,-0.3573315477988357,Normal
4379,15.76,Normal,-0.3431251685061457,Normal
2922,29.472,Normal,-0.3212426844731906,Normal
1936,1097.544,Anomaly,1.383254725536025,Normal
1936,190.92,Normal,-0.06359367031387571,Normal
1004,113.328,Normal,-0.1874199320616184,Normal
1004,532.3992,Normal,0.48136061364078164,Normal
1004,212.058,Normal,-0.02986030191476516,Normal
1004,371.168,Normal,0.22405758274709875,Normal
3157,147.168,Normal,-0.13341590203863132,Normal
1685,77.88,Normal,-0.24399011102896018,Normal
3528,95.616,Normal,-0.21568587118003288,Normal
1949,45.98,Normal,-0.29489816533549945,Normal
1949,17.46,Normal,-0.34041220009482537,Normal
544,211.96,Normal,-0.030016696564358892,Normal
2737,45.0,Normal,-0.296462111831437,Normal
2737,21.8,Normal,-0.33348615132710185,Normal
988,38.22,Normal,-0.3072820682012908,Normal
988,75.18,Normal,-0.2482989432116453,Normal
988,6.16,Normal,-0.3584454607112484,Normal
988,89.99,Normal,-0.2246642007577317,Normal
1754,15.26,Normal,-0.3439231003918281,Normal
1754,1029.95,Anomaly,1.2753839097743882,Normal
1840,208.56,Normal,-0.03544263338699945,Normal
1840,32.4,Normal,-0.3165699953506343,Normal
1840,319.41,Normal,0.14145886566879604,Normal
1840,14.56,Normal,-0.3450402050317835,Normal
1840,30.0,Normal,-0.32040006840191,Normal
1840,48.48,Normal,-0.2909085059070873,Normal
1840,1.68,Normal,-0.365594930406963,Normal
1245,13.98,Normal,-0.34596580601917515,Normal
1245,25.824,Normal,-0.32706439551112965,Normal
1245,146.73,Normal,-0.13411489037048915,Normal
1245,79.76,Normal,-0.2409898871387942,Normal
4408,213.115,Normal,-0.02817347390843247,Normal
86,1113.024,Anomaly,1.4079586967167528,Normal
86,167.968,Normal,-0.10022193559424213,Normal
1973,75.88,Normal,-0.24718183857168993,Normal
1757,4.616,Normal,-0.3609094743742357,Normal
3036,19.05,Normal,-0.33787477669835525,Normal
4342,831.936,Normal,0.9593805409513455,Normal
4342,97.04,Normal,-0.21341336116960935,Normal
4342,72.784,Normal,-0.25212263280783553,Normal
4723,1.248,Normal,-0.36628434355619266,Normal
4723,9.708,Normal,-0.3527833360504459,Normal
4723,27.24,Normal,-0.324804652410877,Normal
4223,19.3,Normal,-0.337475810755514,Normal
2081,208.16,Normal,-0.0360809788955454,Normal
2081,16.74,Normal,-0.3415612220102081,Normal
468,14.9,Normal,-0.34449761134951945,Normal
468,21.39,Normal,-0.33414045547336146,Normal
1431,200.984,Normal,-0.047532897318859665,Normal
4733,230.376,Normal,-0.0006272693509035172,Normal
3537,301.96,Normal,0.11361104285847903,Normal
3843,19.99,Normal,-0.33637466475327227,Normal
3843,6.16,Normal,-0.3584454607112484,Normal
2582,158.368,Normal,-0.11554222779934482,Normal
1810,20.1,Normal,-0.33619911973842215,Normal
1810,73.584,Normal,-0.25084594179074365,Normal
1810,6.48,Normal,-0.35793478430441167,Normal
1425,12.96,Normal,-0.34759358706596727,Normal
1425,53.34,Normal,-0.283152607978254,Normal
1425,32.96,Normal,-0.31567631163866994,Normal
4685,5.682,Normal,-0.35920828359396084,Normal
3950,96.53,Normal,-0.2142272516930054,Normal
3885,51.312,Normal,-0.286389019706582,Normal
2414,77.88,Normal,-0.24399011102896018,Normal
2562,64.624,Normal,-0.26514488118217283,Normal
2562,95.976,Normal,-0.21511136022234156,Normal
2562,1.788,Normal,-0.3654225771196556,Normal
2122,23.92,Normal,-0.33010292013180836,Normal
4389,238.896,Normal,0.012969489981125114,Normal
4389,102.36,Normal,-0.20492336590594828,Normal
4389,36.882,Normal,-0.30941733392737697,Normal
3129,74.112,Normal,-0.250003325719463,Normal
3129,27.992,Normal,-0.32360456285481065,Normal
3129,3.304,Normal,-0.36300324764226644,Normal
1154,339.96,Normal,0.17425386617034397,Normal
3681,41.96,Normal,-0.3013135376963862,Normal
2106,75.96,Normal,-0.2470541694699807,Normal
2106,27.24,Normal,-0.324804652410877,Normal
190,40.096,Normal,-0.3042882277662103,Normal
190,4.72,Normal,-0.3607435045420138,Normal
190,23.976,Normal,-0.3300135517606119,Normal
190,130.464,Normal,-0.16007321047551004,Normal
908,787.53,Normal,0.8885146143201171,Normal
4347,157.794,Normal,-0.11645825360410823,Normal
1722,47.04,Normal,-0.29320654973785265,Normal
1722,30.84,Normal,-0.3190595428339635,Normal
1722,226.56,Normal,-0.006717085502431852,Normal
1722,115.02,Normal,-0.18471973056046906,Normal
1722,68.04,Normal,-0.2596934105391905,Normal
4239,600.558,Normal,0.5901327732604854,Normal
4198,617.7,Normal,0.617489070029222,Normal
4672,2.388,Normal,-0.36446505885683667,Normal
4672,243.992,Normal,0.02110201176000048,Normal
4495,81.424,Normal,-0.23833436982324308,Normal
4495,238.56,Normal,0.012433279753946544,Normal
4900,59.97,Normal,-0.27257203117410495,Normal
4900,78.304,Normal,-0.24331346478990148,Normal
4900,21.456,Normal,-0.33403512846445144,Normal
2357,20.04,Normal,-0.33629487156470406,Normal
2357,35.44,Normal,-0.3117185694856851,Normal
2357,11.52,Normal,-0.3498916308967327,Normal
2357,4.02,Normal,-0.3618606091819692,Normal
2357,76.176,Normal,-0.24670946289536588,Normal
2357,65.88,Normal,-0.2631404762853386,Normal
2357,43.12,Normal,-0.2994623357216029,Normal
1822,82.8,Normal,-0.23613846127384508,Normal
2892,8.82,Normal,-0.3542004630794179,Normal
2892,10.86,Normal,-0.35094490098583353,Normal
2892,143.7,Normal,-0.1389503575977247,Normal
3841,839.43,Normal,0.9713399440539536,Normal
912,671.93,Normal,0.7040327623503385,Normal
132,93.888,Normal,-0.2184435237769514,Normal
1893,384.45,Normal,0.24525384535836686,Normal
1893,149.97,Normal,-0.12894429175126698,Normal
1893,1951.84,Anomaly,2.7465947619579447,Normal
1893,171.55,Normal,-0.09450555156521313,Normal
2569,157.92,Normal,-0.1162571747689163,Normal
2569,203.184,Normal,-0.044021997021856975,Normal
1098,58.38,Normal,-0.27510945457057506,Normal
1098,105.52,Normal,-0.19988043638843528,Normal
1098,80.88,Normal,-0.23920251971486559,Normal
1018,6.63,Normal,-0.3576954047387069,Normal
62,457.568,Normal,0.36194021259302317,Normal
1889,14.62,Normal,-0.3449444532055016,Normal
1889,944.93,Normal,1.1397035719329471,Normal
2638,5.98,Normal,-0.3587327161900941,Normal
1030,54.384,Normal,-0.2814865262009491,Normal
2496,28.4,Normal,-0.32295345043609375,Normal
1885,27.68,Normal,-0.32410247235147643,Normal
473,9.936,Normal,-0.35241947911057464,Normal
473,8159.952,Anomaly,12.653895791333428,Anomaly
473,275.928,Normal,0.07206751716230886,Normal
473,1740.06,Anomaly,2.4086227324582934,Normal
473,32.064,Normal,-0.3171062055778129,Normal
473,177.98,Normal,-0.08424414751533708,Normal
473,143.976,Normal,-0.138509899196828,Normal
223,20.94,Normal,-0.3348585941704757,Normal
223,110.96,Normal,-0.19119893747221042,Normal
223,340.144,Normal,0.17454750510427514,Normal
4124,52.448,Normal,-0.28457611846231146,Normal
4124,20.16,Normal,-0.3361033679121403,Normal
4859,97.264,Normal,-0.21305588768482364,Normal
4285,396.802,Normal,0.26496595466226575,Normal
4285,15.88,Normal,-0.3429336648535819,Normal
1268,3.28,Normal,-0.3630415483727792,Normal
745,24.816,Normal,-0.3286730261926654,Normal
745,408.744,Normal,0.284023759819905,Normal
667,503.96,Normal,0.4359755246741821,Normal
667,149.95,Normal,-0.1289762090266943,Normal
667,29.0,Normal,-0.3219959321732748,Normal
1735,7.16,Normal,-0.35684959693988355,Normal
268,176.8,Normal,-0.08612726676554759,Normal
2534,37.224,Normal,-0.3088715485175702,Normal
2534,20.016,Normal,-0.3363331722952168,Normal
813,899.136,Normal,1.0666225863870644,Normal
813,71.76,Normal,-0.2537567973097131,Normal
813,51.84,Normal,-0.2855464036353013,Normal
813,626.352,Normal,0.6312964833790707,Normal
813,19.9,Normal,-0.3365182924926951,Normal
